Rect,2006
Rect,2070
Rect,2021
Rect,1056
Rect,2057
Rect,2075
Tri,2528
Rect,1048
Rect,2058
Tri,2520
Rect,1018
Rect,2014
Tri,1524
Tri,2518
Rect,2002
Rect,1000
Rect,2069
Rect,1017
Rect,1085
Rect,1026
Rect,2007
Tri,2526
Rect,2025
Rect,1019
Tri,1514
Rect,1031
Rect,2011
Rect,2037
Tri,1517
Tri,2507
Rect,2059
Rect,2004
Tri,1511
Rect,2082
Rect,1053
Rect,1024
Tri,1504
Tri,2514
Rect,2091
Rect,2052
Rect,1047
Tri,1509
Rect,2047
Rect,2053
Tri,1525
Tri,2517
Rect,1021
Rect,1059
Rect,2085
Tri,1500
Rect,2024
Rect,1013
Tri,2527
Rect,2094
Tri,1512
Rect,2056
Rect,1074
Rect,2048
Rect,2079
Tri,1505
Rect,1057
Rect,2003
Tri,1508
Rect,1091
Rect,2054
Tri,2504
Rect,2072
Rect,2064
Tri,1527
Rect,1022
Rect,1082
Rect,2010
Rect,2015
Tri,1515
Tri,2508
Rect,2078
Rect,2029
Rect,1033
Rect,1075
Tri,2512
Rect,1087
Rect,1073
Tri,2511
Rect,1043
Rect,2074
Rect,2045
Rect,2098
Rect,1092
Tri,2523
Rect,2092
Rect,1025
Rect,1002
Rect,1005
Rect,2034
Rect,2031
Rect,1088
Rect,1028
Rect,2051
Rect,2012
Tri,1518
Rect,2089
Rect,2065
Rect,1001
Rect,1055
Rect,1077
Tri,2524
Rect,1065
Rect,1009
Rect,1011
Rect,2046
Rect,1015
Rect,1094
Tri,2529
Rect,1034
Rect,1060
Rect,2032
Rect,1095
Rect,1032
Rect,1010
Rect,1089
Tri,1521
Rect,2066
Rect,1007
Tri,1519
Rect,2076
Rect,1079
Rect,2071
Rect,1081
Rect,1068
Rect,1030
Rect,2087
Rect,2041
Rect,1045
Rect,1023
Rect,2027
Rect,2030
Rect,2001
Rect,1029
Rect,2067
Rect,1042
Rect,2017
Rect,2096
Rect,2040
Tri,2500
Rect,2016
Rect,1027
Rect,2081
Rect,1080
Tri,2506
Rect,2093
Tri,2525
Rect,1097
Rect,2005
Rect,2055
Rect,1072
Rect,1020
Rect,1066
Tri,2502
Rect,1067
Tri,1501
Tri,1529
Rect,1099
Rect,1016
Rect,1041
Tri,1528
Rect,1039
Rect,1071
Rect,1098
Rect,2086
Tri,2516
Rect,2026
Rect,2009
Rect,1014
Rect,1058
Tri,1526
Rect,1070
Rect,1036
Rect,2095
Rect,2068
Rect,2000
Rect,1003
Rect,2073
Rect,1076
Rect,1004
Rect,2042
Rect,1054
Rect,1062
Rect,2008
Tri,2522
Rect,1008
Rect,2090
Rect,2038
Rect,1061
Tri,1520
Tri,1506
Tri,2515
Rect,1083
Rect,2018
Tri,2509
Rect,1049
Rect,2013
Rect,2033
Tri,1507
Rect,1069
Rect,1040
Tri,1510
Tri,1503
Tri,1516
Rect,1012
Rect,1050
Rect,2099
Rect,2049
Rect,2097
Tri,2519
Rect,2060
Tri,1523
Rect,2080
Tri,2505
Rect,1038
Rect,2062
Rect,1046
Rect,2088
Rect,2022
Rect,2063
Rect,1078
Rect,2036
Rect,1052
Tri,2513
Rect,2028
Rect,2020
Rect,2050
Rect,1044
Tri,2503
Rect,2077
Tri,2510
Rect,1086
Rect,1084
Tri,1522
Rect,2084
Rect,2043
Tri,1513
Rect,1090
Rect,2061
Rect,1037
Rect,2083
Rect,1051
Rect,2035
Rect,1035
Rect,1093
Rect,2039
Rect,1096
Tri,1502
Tri,2521
Rect,1006
Rect,2019
Tri,2501
Rect,2044
Rect,1063
Rect,2023
Rect,1064
