fandar;nWabs
elzar;nWman
dudar;Wabs
tragar;Wnman
dasfilar;nWnman
reclinar;Wnman
velar;Wabs
zarcir;nWman
vencer;Wabs
conducir;Wnman
reinar;Wabs
sellar;Wman
zapatear;Wnman
somar;nWabs
notar;Wabs
taconear;Wnman
onhelar;nWabs
trancar;nWnman
existir;Wabs
jezgar;nWabs
rubanar;nWman
adentir;nWnman
roinar;nWabs
cropezar;nWnman
batear;Wman
docir;nWnman
decaer;Wabs
tomar;Wman
firmar;Wman
remover;Wman
tapar;Wman
lucir;Wabs
calear;nWnman
bamear;nWman
ognorar;nWabs
medir;Wman
palir;nWnman
vozar;nWabs
monfiar;nWabs
lesear;nWabs
aplaudir;Wman
valer;Wabs
regresar;Wnman
exigir;Wabs
sugoner;nWabs
reciar;nWman
zurcir;Wman
gozar;Wabs
secidir;nWabs
llamar;Wnman
croteger;nWabs
tudar;nWabs
coser;Wman
pugar;nWman
polgar;nWman
moner;nWman
horedar;nWabs
milar;nWman
poner;Wman
emuctar;nWnman
subrayar;Wman
heredar;Wabs
fundar;Wabs
pulir;Wman
lenir;nWnman
venir;Wnman
enigir;nWabs
valorar;Wabs
ignorar;Wabs
desear;Wabs
lotar;nWabs
sentir;Wabs
obrir;nWman
acudir;Wnman
pividir;nWabs
cherriar;nWnman
llabar;nWnman
taladrar;Wman
desfilar;Wnman
vetar;Wabs
juzgar;Wabs
remaver;nWman
abanicar;Wman
querer;Wabs
rosgar;nWman
tupar;nWman
tetar;nWabs
sorear;nWnman
rasgar;Wman
triunfar;Wabs
maer;nWnman
entender;Wabs
aspirar;Wnman
traer;Wnman
enjuagar;Wnman
abar;nWabs
pragar;nWnman
dividir;Wabs
fomar;nWnman
confiar;Wabs
lensar;nWman
ticar;nWman
zupatear;nWnman
ungir;Wman
consumir;Wnman
firgar;nWman
pegar;Wman
guerer;nWabs
derminar;nWabs
ospirar;nWnman
coldar;nWman
mornar;nWnman
soldar;Wman
ledantar;nWman
