sentir;Wabs
obrir;nWman
batear;Wman
mornar;nWnman
secidir;nWabs
enjuagar;Wnman
reciar;nWman
velar;Wabs
entender;Wabs
maer;nWnman
pugar;nWman
juzgar;Wabs
zarcir;nWman
heredar;Wabs
coldar;nWman
lensar;nWman
valer;Wabs
lotar;nWabs
coser;Wman
ospirar;nWnman
fomar;nWnman
desfilar;Wnman
llabar;nWnman
zupatear;nWnman
consumir;Wnman
aplaudir;Wman
fundar;Wabs
vetar;Wabs
regresar;Wnman
tupar;nWman
reinar;Wabs
lenir;nWnman
rubanar;nWman
valorar;Wabs
subrayar;Wman
sorear;nWnman
croteger;nWabs
sugoner;nWabs
aspirar;Wnman
gozar;Wabs
pegar;Wman
onhelar;nWabs
guerer;nWabs
firmar;Wman
dividir;Wabs
calear;nWnman
querer;Wabs
enigir;nWabs
llamar;Wnman
tragar;Wnman
adentir;nWnman
pividir;nWabs
zurcir;Wman
soldar;Wman
vencer;Wabs
reclinar;Wnman
horedar;nWabs
tapar;Wman
zapatear;Wnman
confiar;Wabs
conducir;Wnman
docir;nWnman
monfiar;nWabs
moner;nWman
tudar;nWabs
poner;Wman
pulir;Wman
somar;nWabs
pragar;nWnman
acudir;Wnman
traer;Wnman
elzar;nWman
milar;nWman
roinar;nWabs
sellar;Wman
tomar;Wman
cherriar;nWnman
ledantar;nWman
desear;Wabs
polgar;nWman
existir;Wabs
vozar;nWabs
notar;Wabs
exigir;Wabs
cropezar;nWnman
triunfar;Wabs
ticar;nWman
lucir;Wabs
remover;Wman
derminar;nWabs
ignorar;Wabs
remaver;nWman
tetar;nWabs
venir;Wnman
ognorar;nWabs
jezgar;nWabs
rosgar;nWman
fandar;nWabs
taladrar;Wman
rasgar;Wman
ungir;Wman
abar;nWabs
trancar;nWnman
abanicar;Wman
lesear;nWabs
emuctar;nWnman
taconear;Wnman
dudar;Wabs
dasfilar;nWnman
decaer;Wabs
palir;nWnman
medir;Wman
firgar;nWman
bamear;nWman
