acoso;L1wAff
fleco;L1wNeu
carfelera;L1nwNeu
muerte;L1wAff
valentía;L1wNeu
templanza;L1wNeu
bosta;L1wAff
homicidio;L1wAff
paeva;L1nwNeu
monitor;L1wNeu
panfleto;L1wNeu
isiota;L1nwNeu
parricidio;L1wAff
cáncer;L1wAff
insignia;L1wNeu
vómito;L1wAff
imfecil;L1nwAff
pedofilia;L1wAff
esquema;L1wNeu
tierda;L1nwAff
infección;L1wAff
esvera;L1nwNeu
folleto;L1wNeu
palga;L1nwNeu
necrofilia;L1wAff
hexágono;L1wNeu
menitor;L1nwNeu
vestigio;L1wNeu
bangrena;L1nwAff
abuso;L1wAff
demplanza;L1nwNeu
aposo;L1nwAff
partícula;L1wNeu
herves;L1nwAff
lapilla;L1nwAff
girasol;L1wNeu
gonorrea;L1wAff
acunte;L1nwNeu
idiota;L1wAff
herpes;L1wAff
esfera;L1wNeu
tepelio;L1nwAff
rombo;L1wNeu
similitud;L1wNeu
vaginitis;L1wAff
